Pi,Xi,Yi
P_1_1,453000,4556000
P_1_2,454200,4556000
P_1_3,455400,4556000
P_1_4,456600,4556000
P_1_5,457800,4556000
P_1_6,459000,4556000
P_1_7,460200,4556000
P_1_8,461400,4556000
P_1_9,462600,4556000
P_1_10,463800,4556000
P_1_11,465000,4556000
P_1_12,466200,4556000
P_1_13,467400,4556000
P_1_14,468600,4556000
P_1_15,469800,4556000
P_1_16,471000,4556000
P_1_17,472200,4556000
P_1_18,473400,4556000
P_1_19,474600,4556000
P_1_20,475800,4556000
P_1_21,477000,4556000
P_2_1,453000,4556816
P_2_2,454200,4556816
P_2_3,455400,4556816
P_2_4,456600,4556816
P_2_5,457800,4556816
P_2_6,459000,4556816
P_2_7,460200,4556816
P_2_8,461400,4556816
P_2_9,462600,4556816
P_2_10,463800,4556816
P_2_11,465000,4556816
P_2_12,466200,4556816
P_2_13,467400,4556816
P_2_14,468600,4556816
P_2_15,469800,4556816
P_2_16,471000,4556816
P_2_17,472200,4556816
P_2_18,473400,4556816
P_2_19,474600,4556816
P_2_20,475800,4556816
P_2_21,477000,4556816
P_3_1,453000,4557632
P_3_2,454200,4557632
P_3_3,455400,4557632
P_3_4,456600,4557632
P_3_5,457800,4557632
P_3_6,459000,4557632
P_3_7,460200,4557632
P_3_8,461400,4557632
P_3_9,462600,4557632
P_3_10,463800,4557632
P_3_11,465000,4557632
P_3_12,466200,4557632
P_3_13,467400,4557632
P_3_14,468600,4557632
P_3_15,469800,4557632
P_3_16,471000,4557632
P_3_17,472200,4557632
P_3_18,473400,4557632
P_3_19,474600,4557632
P_3_20,475800,4557632
P_3_21,477000,4557632
P_4_1,453000,4558448
P_4_2,454200,4558448
P_4_3,455400,4558448
P_4_4,456600,4558448
P_4_5,457800,4558448
P_4_6,459000,4558448
P_4_7,460200,4558448
P_4_8,461400,4558448
P_4_9,462600,4558448
P_4_10,463800,4558448
P_4_11,465000,4558448
P_4_12,466200,4558448
P_4_13,467400,4558448
P_4_14,468600,4558448
P_4_15,469800,4558448
P_4_16,471000,4558448
P_4_17,472200,4558448
P_4_18,473400,4558448
P_4_19,474600,4558448
P_4_20,475800,4558448
P_4_21,477000,4558448
P_5_1,453000,4559264
P_5_2,454200,4559264
P_5_3,455400,4559264
P_5_4,456600,4559264
P_5_5,457800,4559264
P_5_6,459000,4559264
P_5_7,460200,4559264
P_5_8,461400,4559264
P_5_9,462600,4559264
P_5_10,463800,4559264
P_5_11,465000,4559264
P_5_12,466200,4559264
P_5_13,467400,4559264
P_5_14,468600,4559264
P_5_15,469800,4559264
P_5_16,471000,4559264
P_5_17,472200,4559264
P_5_18,473400,4559264
P_5_19,474600,4559264
P_5_20,475800,4559264
P_5_21,477000,4559264
P_6_1,453000,4560080
P_6_2,454200,4560080
P_6_3,455400,4560080
P_6_4,456600,4560080
P_6_5,457800,4560080
P_6_6,459000,4560080
P_6_7,460200,4560080
P_6_8,461400,4560080
P_6_9,462600,4560080
P_6_10,463800,4560080
P_6_11,465000,4560080
P_6_12,466200,4560080
P_6_13,467400,4560080
P_6_14,468600,4560080
P_6_15,469800,4560080
P_6_16,471000,4560080
P_6_17,472200,4560080
P_6_18,473400,4560080
P_6_19,474600,4560080
P_6_20,475800,4560080
P_6_21,477000,4560080
P_7_1,453000,4560896
P_7_2,454200,4560896
P_7_3,455400,4560896
P_7_4,456600,4560896
P_7_5,457800,4560896
P_7_6,459000,4560896
P_7_7,460200,4560896
P_7_8,461400,4560896
P_7_9,462600,4560896
P_7_10,463800,4560896
P_7_11,465000,4560896
P_7_12,466200,4560896
P_7_13,467400,4560896
P_7_14,468600,4560896
P_7_15,469800,4560896
P_7_16,471000,4560896
P_7_17,472200,4560896
P_7_18,473400,4560896
P_7_19,474600,4560896
P_7_20,475800,4560896
P_7_21,477000,4560896
P_8_1,453000,4561712
P_8_2,454200,4561712
P_8_3,455400,4561712
P_8_4,456600,4561712
P_8_5,457800,4561712
P_8_6,459000,4561712
P_8_7,460200,4561712
P_8_8,461400,4561712
P_8_9,462600,4561712
P_8_10,463800,4561712
P_8_11,465000,4561712
P_8_12,466200,4561712
P_8_13,467400,4561712
P_8_14,468600,4561712
P_8_15,469800,4561712
P_8_16,471000,4561712
P_8_17,472200,4561712
P_8_18,473400,4561712
P_8_19,474600,4561712
P_8_20,475800,4561712
P_8_21,477000,4561712
P_9_1,453000,4562528
P_9_2,454200,4562528
P_9_3,455400,4562528
P_9_4,456600,4562528
P_9_5,457800,4562528
P_9_6,459000,4562528
P_9_7,460200,4562528
P_9_8,461400,4562528
P_9_9,462600,4562528
P_9_10,463800,4562528
P_9_11,465000,4562528
P_9_12,466200,4562528
P_9_13,467400,4562528
P_9_14,468600,4562528
P_9_15,469800,4562528
P_9_16,471000,4562528
