Xi,Yi
P_1_1,453000,4556000
P_1_2,453240,4556000
P_1_3,453480,4556000
P_1_4,453720,4556000
P_1_5,453960,4556000
P_1_6,454200,4556000
P_1_7,454440,4556000
P_1_8,454680,4556000
P_1_9,454920,4556000
P_1_10,455160,4556000
P_1_11,455400,4556000
P_1_12,455640,4556000
P_1_13,455880,4556000
P_1_14,456120,4556000
P_1_15,456360,4556000
P_1_16,456600,4556000
P_1_17,456840,4556000
P_1_18,457080,4556000
P_1_19,457320,4556000
P_1_20,457560,4556000
P_1_21,457800,4556000
P_1_22,458040,4556000
P_1_23,458280,4556000
P_1_24,458520,4556000
P_1_25,458760,4556000
P_1_26,459000,4556000
P_1_27,459240,4556000
P_1_28,459480,4556000
P_1_29,459720,4556000
P_1_30,459960,4556000
P_1_31,460200,4556000
P_1_32,460440,4556000
P_1_33,460680,4556000
P_1_34,460920,4556000
P_1_35,461160,4556000
P_1_36,461400,4556000
P_1_37,461640,4556000
P_1_38,461880,4556000
P_1_39,462120,4556000
P_1_40,462360,4556000
P_1_41,462600,4556000
P_1_42,462840,4556000
P_1_43,463080,4556000
P_1_44,463320,4556000
P_1_45,463560,4556000
P_1_46,463800,4556000
P_1_47,464040,4556000
P_1_48,464280,4556000
P_1_49,464520,4556000
P_1_50,464760,4556000
P_1_51,465000,4556000
P_1_52,465240,4556000
P_1_53,465480,4556000
P_1_54,465720,4556000
P_1_55,465960,4556000
P_1_56,466200,4556000
P_1_57,466440,4556000
P_1_58,466680,4556000
P_1_59,466920,4556000
P_1_60,467160,4556000
P_1_61,467400,4556000
P_1_62,467640,4556000
P_1_63,467880,4556000
P_1_64,468120,4556000
P_1_65,468360,4556000
P_1_66,468600,4556000
P_1_67,468840,4556000
P_1_68,469080,4556000
P_1_69,469320,4556000
P_1_70,469560,4556000
P_1_71,469800,4556000
P_1_72,470040,4556000
P_1_73,470280,4556000
P_1_74,470520,4556000
P_1_75,470760,4556000
P_1_76,471000,4556000
P_1_77,471240,4556000
P_1_78,471480,4556000
P_1_79,471720,4556000
P_1_80,471960,4556000
P_1_81,472200,4556000
P_1_82,472440,4556000
P_1_83,472680,4556000
P_1_84,472920,4556000
P_1_85,473160,4556000
P_1_86,473400,4556000
P_1_87,473640,4556000
P_1_88,473880,4556000
P_1_89,474120,4556000
P_1_90,474360,4556000
P_1_91,474600,4556000
P_1_92,474840,4556000
P_1_93,475080,4556000
P_1_94,475320,4556000
P_1_95,475560,4556000
P_1_96,475800,4556000
P_1_97,476040,4556000
P_1_98,476280,4556000
P_1_99,476520,4556000
P_1_100,476760,4556000
P_1_101,477000,4556000
P_2_1,453000,4556163.2
P_2_2,453240,4556163.2
P_2_3,453480,4556163.2
P_2_4,453720,4556163.2
P_2_5,453960,4556163.2
P_2_6,454200,4556163.2
P_2_7,454440,4556163.2
P_2_8,454680,4556163.2
P_2_9,454920,4556163.2
P_2_10,455160,4556163.2
P_2_11,455400,4556163.2
P_2_12,455640,4556163.2
P_2_13,455880,4556163.2
P_2_14,456120,4556163.2
P_2_15,456360,4556163.2
P_2_16,456600,4556163.2
P_2_17,456840,4556163.2
P_2_18,457080,4556163.2
P_2_19,457320,4556163.2
P_2_20,457560,4556163.2
P_2_21,457800,4556163.2
P_2_22,458040,4556163.2
P_2_23,458280,4556163.2
P_2_24,458520,4556163.2
P_2_25,458760,4556163.2
P_2_26,459000,4556163.2
P_2_27,459240,4556163.2
P_2_28,459480,4556163.2
P_2_29,459720,4556163.2
P_2_30,459960,4556163.2
P_2_31,460200,4556163.2
P_2_32,460440,4556163.2
P_2_33,460680,4556163.2
P_2_34,460920,4556163.2
P_2_35,461160,4556163.2
P_2_36,461400,4556163.2
P_2_37,461640,4556163.2
P_2_38,461880,4556163.2
P_2_39,462120,4556163.2
P_2_40,462360,4556163.2
P_2_41,462600,4556163.2
P_2_42,462840,4556163.2
P_2_43,463080,4556163.2
P_2_44,463320,4556163.2
P_2_45,463560,4556163.2
P_2_46,463800,4556163.2
P_2_47,464040,4556163.2
P_2_48,464280,4556163.2
P_2_49,464520,4556163.2
P_2_50,464760,4556163.2
P_2_51,465000,4556163.2
P_2_52,465240,4556163.2
P_2_53,465480,4556163.2
P_2_54,465720,4556163.2
P_2_55,465960,4556163.2
P_2_56,466200,4556163.2
P_2_57,466440,4556163.2
P_2_58,466680,4556163.2
P_2_59,466920,4556163.2
P_2_60,467160,4556163.2
P_2_61,467400,4556163.2
P_2_62,467640,4556163.2
P_2_63,467880,4556163.2
P_2_64,468120,4556163.2
P_2_65,468360,4556163.2
P_2_66,468600,4556163.2
P_2_67,468840,4556163.2
P_2_68,469080,4556163.2
P_2_69,469320,4556163.2
P_2_70,469560,4556163.2
P_2_71,469800,4556163.2
P_2_72,470040,4556163.2
P_2_73,470280,4556163.2
P_2_74,470520,4556163.2
P_2_75,470760,4556163.2
P_2_76,471000,4556163.2
P_2_77,471240,4556163.2
P_2_78,471480,4556163.2
P_2_79,471720,4556163.2
P_2_80,471960,4556163.2
P_2_81,472200,4556163.2
P_2_82,472440,4556163.2
P_2_83,472680,4556163.2
P_2_84,472920,4556163.2
P_2_85,473160,4556163.2
P_2_86,473400,4556163.2
P_2_87,473640,4556163.2
P_2_88,473880,4556163.2
P_2_89,474120,4556163.2
P_2_90,474360,4556163.2
P_2_91,474600,4556163.2
P_2_92,474840,4556163.2
P_2_93,475080,4556163.2
P_2_94,475320,4556163.2
P_2_95,475560,4556163.2
P_2_96,475800,4556163.2
P_2_97,476040,4556163.2
P_2_98,476280,4556163.2
P_2_99,476520,4556163.2
P_2_100,476760,4556163.2
P_2_101,477000,4556163.2
